"id","titre","contenu","date_publication","id_auteur"
"1","Nouveau scanner IRM installe","Information concernant : nouveau scanner irm installe.","2024-04-23 01:00:00","4"
"2","Campagne de vaccination en cours","Information concernant : campagne de vaccination en cours.","2025-01-01 09:29:00","30"
"3","Mise a jour du systeme informatique","Information concernant : mise a jour du systeme informatique.","2024-06-11 00:50:00","13"
"4","Recrutement infirmiers urgences","Information concernant : recrutement infirmiers urgences.","2024-09-06 05:13:00","5"
"5","Journee portes ouvertes","Information concernant : journee portes ouvertes.","2024-02-06 03:18:00","7"
"6","Formation nouveaux equipements","Information concernant : formation nouveaux equipements.","2023-11-29 11:41:00","13"
"7","Resultats bilan annuel","Information concernant : resultats bilan annuel.","2023-05-31 13:31:00","36"
"8","Travaux aile ouest termines","Information concernant : travaux aile ouest termines.","2024-12-16 12:29:00","16"
"9","Nouveau protocole COVID","Information concernant : nouveau protocole covid.","2024-04-03 21:58:00","30"
"10","Partenariat universite medecine","Information concernant : partenariat universite medecine.","2024-07-02 04:11:00","38"
